fid,id_number,scientific,commonname,division,category1,category2,status,reporter,recowner,surveyor,obsdate,dateent,dateup,county,latitude,longitude,coordacc,localowner,administra,administ_1,unittype,unitname,locality,site,habitat,waterbodyn,waterbodyt,lakeidnumb,comments,abundance,infestedar,grossareai,percentcov,density,quantity,quantityun,approxquan,numcollect,smallestob,largestobs,incidence,severity,host,hostdamage,managestat,visittype,datamethod,traptype,numtraps,targetname,targetcoun,targetrang,phenology,lifestatus,sex,treatarea,planttreat,treatcomm,obsider,origname,datereview,reviewer,verifymeth,idcred,reviewcomm,museum,museumrec,voucher,nativity,recsrctyp,method,pid,collecttim,dateacc,substrate
50249,83902,Centaurea stoebe ssp. micranthos,spotted knapweed,Plants,Forbs/Herbs,,Positive,Minnesota Department of Natural Resources Parks and Trails,State Agency,,9/21/2004,5/4/2011,,Clearwater,47.23616,-95.1946,0,,,,,,,,Other,,,,,,0,0,,,0,,1 - 10 Plants,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,
50250,83903,Centaurea stoebe ssp. micranthos,spotted knapweed,Plants,Forbs/Herbs,,Positive,Minnesota Department of Natural Resources Parks and Trails,State Agency,,9/21/2004,5/4/2011,,Clearwater,47.23684,-95.19479,0,,,,,,,,Other,,,,,,0.02,0,,,0,,10 - 100 Plants,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,
50251,83904,Centaurea stoebe ssp. micranthos,spotted knapweed,Plants,Forbs/Herbs,,Positive,Minnesota Department of Natural Resources Parks and Trails,State Agency,,9/21/2004,5/4/2011,,Clearwater,47.23648,-95.19454,0,,,,,,,,Other,,,,,,0,0,,,0,,10 - 100 Plants,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,
50252,83905,Centaurea stoebe ssp. micranthos,spotted knapweed,Plants,Forbs/Herbs,,Positive,Minnesota Department of Natural Resources Parks and Trails,State Agency,,9/21/2004,5/4/2011,,Clearwater,47.23659,-95.19471,0,,,,,,,,Other,,,,,,0,0,,,0,,1 - 10 Plants,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,
50253,83906,Centaurea stoebe ssp. micranthos,spotted knapweed,Plants,Forbs/Herbs,,Positive,Minnesota Department of Natural Resources Parks and Trails,State Agency,,9/21/2004,5/4/2011,,Clearwater,47.23583,-95.19431,0,,,,,,,,Lawn,,,,,,1,0,,,0,,100 - 1000 Plants,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,
50254,83907,Centaurea stoebe ssp. micranthos,spotted knapweed,Plants,Forbs/Herbs,,Positive,Minnesota Department of Natural Resources Parks and Trails,State Agency,,9/21/2004,5/4/2011,,Clearwater,47.23556,-95.19322,0,,,,,,,,Lawn,,,,,,0.02,0,,,0,,10 - 100 Plants,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,
50255,83908,Centaurea stoebe ssp. micranthos,spotted knapweed,Plants,Forbs/Herbs,,Positive,Minnesota Department of Natural Resources Parks and Trails,State Agency,,9/21/2004,5/4/2011,,Clearwater,47.23685,-95.19509,0,,,,,,,,Other,,,,,,0.02,0,,,0,,10 - 100 Plants,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,
67840,102587,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,"Michael Lynch Cook County Invasive Team, Minnesota",Joint Federal/State/County,,9/21/2004,12/13/2011,,Cook,47.99793,-90.37621,0,Superior National Forest,,,,,,,Right-of-Way,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,5/13/2016,Laura Van Riper,Bulk Verified,Credible,,,,0,Introduced,Bulk Data,,,0,0,
68436,103183,Cirsium vulgare,bull thistle,Plants,Forbs/Herbs,,Positive,"Michael Lynch Cook County Invasive Team, Minnesota",Joint Federal/State/County,,9/21/2004,12/13/2011,,Cook,47.99581,-90.38278,0,Superior National Forest,,,,,,,,,,,,,0.02,0.12,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,5/13/2016,Laura Van Riper,Bulk Verified,Credible,,,,0,Introduced,Bulk Data,,,0,0,
71927,107755,Tanacetum vulgare,common tansy,Plants,Forbs/Herbs,,Positive,Minnesota Department of Agriculture,State Agency,,9/21/2005,1/22/2015,,Crow Wing,46.63667,-94.02236,0,Public,,,,,,,Right-of-Way,,,,,,0.13,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,Tanacetum vulgare,,,,,,,,0,Introduced,Bulk Data,,,0,0,
