id_number,commonname,latitude,longitude
169386,emerald ash borer,45.14107,-93.19713
169387,emerald ash borer,45.17548,-93.25788
169388,emerald ash borer,45.17541,-93.25716
169389,emerald ash borer,45.17546,-93.25788
169390,emerald ash borer,45.14194,-93.19678
169405,oriental bittersweet,45.01213,-92.97275
169406,oriental bittersweet,45.0111,-92.97223
169448,garlic mustard,44.10452,-95.69943
188451,emerald ash borer,45.10663,-93.33042
188452,emerald ash borer,45.10636,-93.33102
106525,emerald ash borer,45.02921,-93.17098
123744,Japanese knotweed,44.98545,-93.25942
140167,emerald ash borer,43.97467,-91.60283
144750,oriental bittersweet,45.08014,-92.80172
144751,oriental bittersweet,45.09084,-92.92284
144752,oriental bittersweet,45.0894,-92.91924
144753,oriental bittersweet,45.09829,-92.77517
144754,oriental bittersweet,45.10032,-92.77451
144755,oriental bittersweet,45.0768,-92.80668
144756,oriental bittersweet,45.07592,-92.80883
144760,oriental bittersweet,45.09626,-92.97004
144761,oriental bittersweet,45.09694,-92.97021
144762,oriental bittersweet,45.104,-92.96523
144763,oriental bittersweet,45.09778,-92.95047
144764,oriental bittersweet,45.19625,-92.77282
144765,oriental bittersweet,45.08908,-92.78709
144766,oriental bittersweet,45.09283,-92.78511
153608,emerald ash borer,45.24154,-93.15682
167203,emerald ash borer,44.9308,-93.2896
169420,spotted knapweed,45.51731,-93.36875
188450,emerald ash borer,45.15436,-93.37877
106526,emerald ash borer,45.0258,-93.17493
106527,emerald ash borer,45.02583,-93.17467
106528,emerald ash borer,45.02581,-93.17384
106683,oriental bittersweet,44.53803,-92.53865
106684,oriental bittersweet,44.54302,-92.54166
113891,common tansy,47.6284,-91.81203
113902,common tansy,47.6292,-91.80767
113908,common tansy,47.6298,-91.8135
139983,emerald ash borer,45.02557,-93.17516
145232,emerald ash borer,45.01485,-93.2877
145233,emerald ash borer,45.01743,-93.28802
145234,emerald ash borer,45.0202,-93.28828
145235,emerald ash borer,45.01544,-93.28814
145236,emerald ash borer,45.02222,-93.28797
145238,emerald ash borer,45.01805,-93.28806
145242,emerald ash borer,45.02534,-93.28824
145243,emerald ash borer,45.02533,-93.28811
145245,emerald ash borer,45.02364,-93.28819
145246,emerald ash borer,45.0236,-93.2882
145247,emerald ash borer,45.01536,-93.28802
145248,emerald ash borer,45.02813,-93.28807
145249,emerald ash borer,45.02781,-93.28841
145250,emerald ash borer,45.01796,-93.2881
167229,emerald ash borer,44.9482,-93.2217
169432,oriental bittersweet,44.52983,-92.53391
169444,oriental bittersweet,44.54242,-92.56251
188465,Japanese knotweed,43.71673,-92.95192
77385,"common buckthorn, European buckthorn",45.03322,-95.90362
77386,"common buckthorn, European buckthorn",45.03323,-95.9036
127444,garlic mustard,45.94482,-92.7754
188463,Japanese knotweed,46.7344,-92.17425
105939,emerald ash borer,44.96816,-93.21273
105986,emerald ash borer,44.96808,-93.21262
123745,oriental bittersweet,45.17271,-93.40175
145229,oriental bittersweet,44.89158,-93.37584
145230,oriental bittersweet,44.89558,-93.37642
145231,oriental bittersweet,44.89589,-93.37646
106529,emerald ash borer,45.02659,-93.18028
106530,emerald ash borer,45.02653,-93.1803
106531,emerald ash borer,45.02654,-93.18026
106532,emerald ash borer,45.02637,-93.18023
106533,emerald ash borer,45.02634,-93.18026
106534,emerald ash borer,45.02633,-93.18026
106535,emerald ash borer,45.02628,-93.18024
106536,emerald ash borer,45.02626,-93.18024
106537,emerald ash borer,45.02616,-93.18013
106538,emerald ash borer,45.02612,-93.18018
106539,emerald ash borer,45.02612,-93.18009
106540,emerald ash borer,45.02609,-93.18012
106541,emerald ash borer,45.02609,-93.18012
106542,emerald ash borer,45.02607,-93.1802
106543,emerald ash borer,45.02592,-93.18016
106544,emerald ash borer,45.02596,-93.18013
106545,emerald ash borer,45.02588,-93.18003
106546,emerald ash borer,45.02587,-93.18003
106547,emerald ash borer,45.02578,-93.18011
106548,emerald ash borer,45.02571,-93.18003
106549,emerald ash borer,45.02672,-93.17893
106550,emerald ash borer,45.02672,-93.17841
106551,emerald ash borer,45.02584,-93.17751
106552,emerald ash borer,45.0258,-93.17755
106553,emerald ash borer,45.02577,-93.17751
106554,emerald ash borer,45.02512,-93.177
106555,emerald ash borer,45.02494,-93.17701
106556,emerald ash borer,45.02431,-93.17923
106557,emerald ash borer,45.02433,-93.1784
106558,emerald ash borer,45.02431,-93.1784
106559,emerald ash borer,45.02431,-93.17838
106560,emerald ash borer,45.0243,-93.17837
106561,emerald ash borer,45.02433,-93.1782
106562,emerald ash borer,45.02432,-93.1782
