id_number,commonname,latitude,longitude
48877,common tansy,47.26976,-93.58183
48878,common tansy,47.27072,-93.58447
48880,common tansy,47.26931,-93.58191
48881,common tansy,47.27011,-93.5837
48883,common tansy,47.27049,-93.58412
48884,common tansy,47.27019,-93.58431
48887,common tansy,47.26938,-93.58367
48888,common tansy,47.26974,-93.58437
48890,common tansy,47.27092,-93.58434
48891,common tansy,47.26933,-93.584
48892,common tansy,47.2691,-93.58422
48894,common tansy,47.26975,-93.581
48895,common tansy,47.26916,-93.58305
48896,common tansy,47.27077,-93.58454
48898,common tansy,47.26902,-93.58269
48899,common tansy,47.26882,-93.58388
48901,common tansy,47.26902,-93.58128
48903,common tansy,47.27068,-93.58304
48905,common tansy,47.27037,-93.5822
48907,common tansy,47.2696,-93.58392
48909,common tansy,47.27085,-93.58355
48911,common tansy,47.26908,-93.58192
48913,common tansy,47.26885,-93.58261
48915,spotted knapweed,47.26925,-93.58357
48917,spotted knapweed,47.26904,-93.58258
48919,spotted knapweed,47.26984,-93.5839
69719,common tansy,46.93566,-94.57314
69724,oxeye daisy,46.92854,-94.55433
69730,hairy vetch,46.93124,-94.56176
69734,hoary alyssum,46.93561,-94.57805
69738,bush honeysuckles (exotic),46.9331,-94.55062
69739,hairy vetch,46.92878,-94.55193
69740,oxeye daisy,46.93091,-94.55009
69743,hoary alyssum,46.93051,-94.5501
69746,birdsfoot trefoil,46.9421,-94.59635
69748,hairy vetch,46.94207,-94.59647
69750,Canada thistle,47.58364,-94.80584
69753,hoary alyssum,46.81091,-94.54432
69756,oxeye daisy,46.80953,-94.543
69757,hoary alyssum,46.80696,-94.53995
69758,bull thistle,46.80728,-94.6065
69759,common tansy,46.80513,-94.60493
69760,hoary alyssum,46.91141,-94.55555
69762,cow vetch,46.79773,-94.58397
69763,hairy vetch,46.81708,-94.60356
69764,bull thistle,46.8171,-94.60363
69765,hoary alyssum,46.81693,-94.60375
69766,birdsfoot trefoil,46.7975,-94.58379
69767,common tansy,46.82314,-94.60278
69768,common tansy,47.62697,-94.71264
69769,hoary alyssum,46.71875,-94.54072
69771,oxeye daisy,46.71658,-94.65292
69772,hairy vetch,46.73264,-94.59872
69773,hoary alyssum,46.68279,-94.65133
69776,cow vetch,46.69545,-94.64579
69777,bull thistle,46.68279,-94.65116
69778,hairy vetch,46.70169,-94.64669
69779,Canada thistle,46.71756,-94.61103
69780,hoary alyssum,46.74618,-94.59917
69782,bull thistle,47.50726,-94.65008
69783,hairy vetch,46.68253,-94.65181
69785,hoary alyssum,46.6743,-94.67498
69786,spotted knapweed,46.67443,-94.67507
69796,Canada thistle,46.67447,-94.67508
80623,common tansy,46.66264,-92.38238
80624,common tansy,46.66264,-92.38238
83143,common St. Johnswort,45.21887,-92.77072
83144,yellow sweet-clover,45.21667,-92.77033
83145,cow vetch,45.21833,-92.77167
83146,oxeye daisy,45.21907,-92.77037
83147,smooth brome,45.22005,-92.7705
83149,leafy spurge,45.22017,-92.76968
83150,hoary alyssum,45.21947,-92.7704
83151,birdsfoot trefoil,45.21942,-92.77043
86078,orange hawkweed,45.98208,-92.61595
86079,orange hawkweed,45.99348,-92.61592
86080,orange hawkweed,45.97158,-92.61252
86081,orange hawkweed,45.99583,-92.61557
86082,orange hawkweed,45.99738,-92.61568
86083,orange hawkweed,45.98952,-92.61608
