fid,id_number,scientific,commonname,division,category1,category2,status,reporter,recowner,surveyor,obsdate,dateent,dateup,county,latitude,longitude,coordacc,localowner,administra,administ_1,unittype,unitname,locality,site,habitat,waterbodyn,waterbodyt,lakeidnumb,comments,abundance,infestedar,grossareai,percentcov,density,quantity,quantityun,approxquan,numcollect,smallestob,largestobs,incidence,severity,host,hostdamage,managestat,visittype,datamethod,traptype,numtraps,targetname,targetcoun,targetrang,phenology,lifestatus,sex,treatarea,planttreat,treatcomm,obsider,origname,datereview,reviewer,verifymeth,idcred,reviewcomm,museum,museumrec,voucher,nativity,recsrctyp,method,pid,collecttim,dateacc,substrate,MD
2,115,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,45.07643,-92.80644,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
3,116,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,45.07805,-92.80445,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
4,117,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,45.08016,-92.80199,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
5,118,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,45.08042,-92.80658,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
6,119,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,45.08114,-92.80831,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
7,120,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,45.10583,-92.79591,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
8,121,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,45.1302,-92.76174,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
9,122,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Treated,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,45.13383,-92.75928,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Treated,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
10,123,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Positive,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,45.13647,-92.75895,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Unknown,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
11,124,Digitalis lanata,Grecian foxglove,Plants,Forbs/Herbs,,Treated,Monika Chandler Minnesota Department of Agriculture,State Agency,,1/1/2008,1/14/2011,1/14/2011,Washington,45.13688,-92.76033,0,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,Treated,,,,,,0,,,,,0,0,,,,,,,,,,,0,Introduced,Bulk Data,,,0,0,,01.01
